1,ふれあいの里,34.9878950099,135.655780405
2,上賀茂神社前,35.0576700638,135.75217977
3,国道下鳥羽,34.9386939443,135.745130723
4,嵐山,35.0137704823,135.67906828
5,竹田駅東口,34.9571806635,135.756384353
1001,みぶ操車場前,35.0058753605,135.746201762
1002,京大桂キャンパス前,34.9797018904,135.681467677
1003,北野白梅町,35.0273897184,135.731454802
1004,城南宮道,34.9499980336,135.74313059
1005,法勝寺町,35.0135250172,135.787700769
2001,やまごえ温水プール前,35.0324916332,135.695799973
2002,上鳥羽馬廻,34.9622611529,135.735999535
2003,堀川上立売,35.0320456335,135.751925971
2004,洛北高校前,35.0439891316,135.77087893
2005,納所町,34.9081628964,135.719231502
2006,金閣寺前,35.038455174,135.731468402
3001,わら天神前,35.0350809626,135.732102172
3002,堀川下立売,35.0202293953,135.751803914
3003,洛水高校前,34.9233319139,135.735196255
3004,紫野上野町,35.0470601405,135.744075459
3005,銀閣寺前,35.0266856206,135.794693944
4001,ゴルフ場前,35.0674140123,135.751643338
4002,下三栖,34.926628265,135.750038621
4003,東寺南門前,34.9791616339,135.74616719
4004,洛西バスターミナル,34.9646230988,135.674213113
4005,紫野泉堂町,35.0491844467,135.74121971
4006,銀閣寺道,35.0278876855,135.79146174
5001,パルスプラザ前,34.9466793172,135.751771498
5002,下久世,34.957115951,135.71678695
5003,十条相深町,34.9733596957,135.768246762
5004,東寺東門前,34.9823644848,135.749291783
6001,ユースホステル前,35.0260753124,135.700160795
6002,十条竹田街道,34.9732402344,135.761777055
6003,堀川下長者町,35.0220933342,135.751768026
6004,嵯峨釈迦堂前,35.0226887593,135.676382564
6005,東寺町,34.9502373101,135.77632985
6006,錦林車庫前,35.0213356782,135.792267086
7001,ライトハウス前,35.0391854792,135.739104457
7002,下久我,34.9372192248,135.72989875
7003,京都リサーチパーク前,34.9962181005,135.740561398
7004,東寺西門前,34.9819944418,135.746152949
7005,洛西口駅前,34.9636493017,135.702132922
7006,長福寺道,35.0035310869,135.701869608
8001,一乗寺下り松町,35.0428502863,135.791849463
8002,下京区総合庁舎前,34.9871470437,135.754916095
8003,京都会館美術館前,35.0136529418,135.782576411
8004,堀川中立売,35.0249901632,135.751767892
8005,東寺道,34.9818535341,135.753758658
8006,羅城門,34.9790227053,135.743042456
8007,阪急嵐山駅前,35.0098429844,135.680582029
9001,一乗寺北大丸町,35.0461918309,135.786235637
9002,下岸町,35.0527237464,135.751424866
9003,京都外大前,35.0035942834,135.716688235
9004,千代原口,34.9824274981,135.693190745
9005,東山三条,35.0094562575,135.778132529
9006,洛西大橋,34.9602627431,135.679631697
9007,羽束師志水町,34.9309470475,135.725868346
9008,青少年科学センター前,34.9572253109,135.766686218
10001,一乗寺地蔵本町,35.0405392206,135.785064105
10002,京都市役所前,35.0108979985,135.768952447
10003,千本中立売,35.0250127759,135.742454442
10004,船岡山,35.0412111444,135.741878661
10005,馬場,34.9265701047,135.711884264
11001,一乗寺木ノ本町,35.0404861766,135.791766023
11002,堀川今出川,35.0297010228,135.751901136
11003,川島六ノ坪町,34.9644402162,135.702079723
11004,洛西高校前,34.9639286177,135.667866005
11005,船戸町,34.9758870293,135.73443762
12001,一乗寺梅ノ木町,35.0403971442,135.787775498
12002,下桂,34.9812668732,135.709145417
12003,京都明徳高校前,34.9691811016,135.681609205
12004,千本丸太町,35.0182437529,135.742624018
12005,芝本,34.9212928187,135.707718186
12006,馬塚町,35.0153237603,135.720398331
13001,一乗寺清水町,35.0461691553,135.791949135
13002,堀川御池,35.0110062149,135.751790256
13003,川島町,34.9764951298,135.700980093
13004,花園扇野町,35.0183930055,135.715062272
13005,高原町,35.0368623168,135.785553623
14001,一乗寺赤ノ宮町,35.0422534215,135.783208708
14002,下津林六反田,34.97306464,135.709181598
14003,千本今出川,35.029678082,135.742429257
14004,浄土寺,35.0252848883,135.791900184
14005,花園橋,35.060123823,135.791581773
15001,一乗寺青城町,35.0461050785,135.788749543
15002,堀川松原,34.9995176427,135.752048986
15003,淀,34.9063499623,135.719856533
15004,花園駅前,35.0189908767,135.717712858
15005,高木町,35.0439772931,135.776873461
16001,一乗寺高槻町,35.0438059862,135.783696902
16002,京都駅八条口,34.9841754062,135.757469187
16003,千本出水,35.0218121755,135.74255222
16004,東桂坂,34.9840437574,135.67499232
16005,苔寺道,34.9932987343,135.69217905
17001,一本松,35.0412224837,135.77091811
17002,下津林大般若町,34.9740205737,135.714419841
17003,堀川蛸薬師,35.0060251915,135.751754655
17004,深泥池,35.0564562581,135.766998484
17005,荒神口,35.0213688853,135.769343655
17006,高田町,34.9646572988,135.706546565
18001,一条戻り橋,35.0267065623,135.751730927
18002,下町,34.9476354144,135.766369852
18003,堀川鞍馬口,35.0388027136,135.751767256
18004,深草下川原町,34.9662748499,135.762316609
18005,菱妻神社前,34.9476792735,135.729944931
19001,七条京阪前,34.9893085342,135.769198643
19002,京都駅八条口アバンティ前,34.9840333283,135.760093753
19003,堺町御池,35.0108111016,135.763192291
19004,川端二条,35.0132090046,135.772322283
19005,東福寺道,34.9802144512,135.769187146
19006,菱川,34.9315328674,135.72391537
19007,高野,35.0406368074,135.78268366
20001,七条千本,34.9891333602,135.740672381
20002,下竹殿町,35.0526369053,135.748861055
20003,塔ノ下町,35.0305868382,135.716544865
20004,工業団地前,34.9271257028,135.717717087
20005,深草北蓮池町,34.9519958612,135.767758425
20006,落合町,34.9733266333,135.739026107
21001,七条堀川,34.9891997358,135.753038962
21002,京都駅前,34.9867467591,135.758432516
21003,千本十条,34.9733266727,135.741285031
